CONTRACT_ID,ENTITY_NAME,DEPARTMENT,MUNICIPALITY_TYPE,PROCESS_TYPE,CONTRACT_OBJECT,OBJETC_DETAIL,ESTIMATED_COST,CONTRACT_VALUE,ADDITIONAL_COST,FINAL_COST,YEAR,CONTRACT_DATE,START_DATE,ORIGINAL_DEADLINE,END_DATE,ID_ADJUDICACION,URLPROCESO,NIT_ENTIDAD,ID_CONTRATISTA,ADDITIONAL_TIME,FINAL_DEADLINE,PROJECT_INTENSITY,AWARD_GROWTH,COST_DEVIATION,TIME_DEVIATION,OWNER,REGION,GROUP
19-1-205607-10520942,ANTIOQUIA  ALCALDIA MUNICIPIO DE EL PENOL,ANTIOQUIA,TYPE_6,LICITACIÓN PÚBLICA,"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VÍAS",FRESADA Y PAVIMENTACION DE LA VIA DE ACCESO PRINCIPAL DEL MUNICIPIO DEL PENOL,1333.6565408710858,1309.2839771239778,301.9631307691193,1611.247107893097,2019.0,2019-11-28,2019-12-04,60.0,2020-05-04,10520942,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-1-205607'},890980917,901337744,90.0,150.0,21.821399618732965,-1.8274992848750153,0.2306322662196041,1.5,MUNICIPALITY,ANDINA,Vias Rurales hasta 2020
16-1-163706-5387695,META  ALCALDIA MUNICIPIO DE VILLAVICENCIO,META,TYPE_2,LICITACIÓN PÚBLICA,"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VÍAS",CONSTRUCCION DEL PRIMER TRAMO DEL CORREDOR ECOLOGICO UNIVERSITARIO ENTRE EL RIO OCOA AL CRUCE EL PALMAR EN EL MUNICIPIO DE VILLAVICENCIO ¿ DEPARTAMENTO DEL META,33866.01790254621,33866.01790254621,6740.014821852043,40606.032724398254,2016.0,2016-12-14,2016-12-14,360.0,2018-03-14,5387695,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=16-1-163706'},892099324,901033443,90.0,450.0,94.07227195151725,0.0,0.19901999819545638,0.25,MUNICIPALITY,ORINOQUIA,Vias Rurales hasta 2020
19-1-200502-9032665,BOYACA  ALCALDIA MUNICIPIO DE RAQUIRA,BOYACÁ,TYPE_6,LICITACIÓN PÚBLICA,"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VÍAS",MEJORAMIENTO DE LA VIA SECTOR ALTO DE LA CRUZ Y SECTOR LA VIRGEN HACIA LA VEREDA MIRQUE Y VALERO DEL MUNICIPIO DE RAQUIRA; DEPARTAMENTO DE BOYACA,771.955899898082,771.730200841428,0.0,771.730200841428,2019.0,2019-05-16,2019-07-14,120.0,2019-11-11,9032665,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-1-200502'},891801280-6,901063647,0.0,120.0,6.4310850070119,-0.0292372992659008,0.0,0.0,MUNICIPALITY,ANDINA,Vias Rurales hasta 2020
18-1-195988-8133851,BOYACA  ALCALDIA MUNICIPIO DE SAMACA,BOYACÁ,TYPE_6,LICITACIÓN PÚBLICA,"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VÍAS",MEJORAMIENTO DE VIAS CON PLACA HUELLA EN LA VEREDA RUCHICAL SECTOR RINCON SANTO; VEREDA PARAMO CENTRO  SECTOR  CAPILLA Y PARAMO CENTRO VIA ABEJON DEL MUNICIPIO DE SAMACA; BOYACA,1241.1868856537008,1238.4827137743987,0.0,1238.4827137743987,2019.0,2019-01-23,2019-01-29,240.0,2019-09-29,8133851,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-1-195988'},800016757,901247222,0.0,240.0,5.160344640726661,-0.21786983979272787,0.0,0.0,MUNICIPALITY,ANDINA,Vias Rurales hasta 2020
15-1-143528-3891257,NORTE DE SANTANDER  ALCALDIA MUNICIPIO DE SAN CALIXTO,NORTE DE SANTANDER,TYPE_6,LICITACIÓN PÚBLICA,"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VÍAS",CONSTRUCCION DE PAVIMENTO RIGIDO  EN  LA VEREDA MESALLANA DEL MUNICIPIO DE SAN CALIXTO NORTE DE SANTANDER,519.9037790020951,519.9028695584698,0.0,519.9028695584698,2015.0,2015-09-04,2015-09-08,90.0,2015-12-08,3891257,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-143528'},800099260,CC 88285366 DE OCAÑA NS,0.0,90.0,5.776698550649664,-0.00017492537313190402,0.0,0.0,MUNICIPALITY,ANDINA,Vias Rurales hasta 2020
15-1-139460-4016524,BOYACA  GOBERNACION,BOYACÁ,OTHER,LICITACIÓN PÚBLICA,"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VÍAS",ESTUDIOS; DISENOS;  MEJORAMIENTO Y REHABILITACION DEL CORREDOR VIAL TENZA  - EL CRUCERO (RUTA 56BY03) DEPARTAMENTO DE BOYACA. ESTUDIOS; DISENOS;  MEJORAMIENTO Y REHABILITACION DEL CORREDOR VIAL GUATEQUE  - SUTATENZA. DEPARTAMENTO DE BOYACA.,14719.101686971366,14719.101686971366,747.2790439978272,15466.380730969193,2015.0,2015-08-14,2015-12-15,270.0,2018-03-15,4016524,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-139460'},891800498,9008784378,548.0,818.0,54.51519143322728,0.0,0.05076933768718252,2.0296296296296297,DEPARTMENT_GOVERNMENT,ANDINA,Vias Rurales hasta 2020
19-21-13283-9094166,VAUPES  ALCALDIA MUNICIPIO DE CARURU,VAUPÉS,TYPE_6,LICITACIÓN OBRA PÚBLICA,"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VÍAS",LA CONSTRUCCION; MEJORAMIENTO; MANTENIMIENTO; LIMPIEZA Y REHABILITACION DE LAS CANALES E INFRAESTRUCTURA DE LA PISTA AERODROMO DEL MUNICIPIO DE CARURU - DEPARTAMENTO DEL VAUPES.,301.82192229108,301.8130455153626,0.0,301.8130455153626,2019.0,2019-10-04,2019-10-17,73.0,2019-12-29,9094166,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-13283'},891900493-2,901327686,0.0,73.0,4.134425281032365,-0.002941063939297298,0.0,0.0,MUNICIPALITY,AMAZONIA,Vias Rurales hasta 2020
18-21-7179-8144481,NARINO  ALCALDIA MUNICIPIO DE EL ROSARIO,NARIÑO,TYPE_6,LICITACIÓN OBRA PÚBLICA,"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VÍAS",MEJORAMIENTO Y PAVIMENTACION DE LA VIA EL ROSARIO  EL REMOLINO; TERCERA ETAPA. MUNICIPIO DE EL ROSARIO  NARINO,1857.784853812751,1857.784853812751,0.0,1857.784853812751,2019.0,2019-01-25,2019-02-05,150.0,2019-07-05,8144481,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-7179'},800099079,12996229,0.0,150.0,12.385232358751672,0.0,0.0,0.0,MUNICIPALITY,PACIFICA,Vias Rurales hasta 2020
16-1-161975-5282880,INSTITUTO NACIONAL DE VAS INVIAS,BOGOT DC,OTHER,LICITACIÓN PÚBLICA,"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VÍAS",MANTENIMIENTO RUTINARIO VIAS A CARGO DEL INSTITUTO NACIONAL DE VIAS DIRECCION TERRITORIAL CAQUETA,10193.634370626074,1095.9121494513784,281.8949866198664,1377.8071360712447,2016.0,2016-10-21,2016-11-03,540.0,2018-10-03,5282880,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=16-1-161975'},800215807,828002334,150.0,690.0,2.029466943428478,-89.24905377605701,0.2572240728976178,0.2777777777777778,OTHER,OTRA,Vias Rurales hasta 2020
15-1-150888-4184034,INSTITUTO NACIONAL DE VAS INVIAS,BOGOT DC,OTHER,LICITACIÓN PÚBLICA,"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VÍAS",MEJORAMIENTO MEDIANTE LA CONSTRUCCION; GESTION PREDIAL; SOCIAL Y AMBIENTAL DEL NUEVO PUENTE DE HONDA SOBRE EL RIO MAGDALENA ENTRE LOS MUNICIPIOS DE HONDA Y PUERTO BOGOTA; EN LOS DEPARTAMENTOS DE CUNDINAMARCA Y TOLIMA. PARA EL PROGRAMA VIAS PARA LA EQUIDAD,131915.8842244122,127170.11280825638,7449.367579731513,134619.4803879879,2015.0,2015-12-30,2016-02-12,930.0,2019-11-12,4184034,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-150888'},800215807,9009214174,448.0,1378.0,136.74205678307138,-3.597573896470595,0.058577974142112,0.4817204301075269,OTHER,OTRA,Vias Rurales hasta 2020
